latitude,longitude,acq_date,acq_time,satellite,confidence
-38.7366,-64.1437,2000-12-07,1446,Terra,93
-38.7432,-64.1732,2000-12-07,1446,Terra,100
-38.8057,-64.2473,2000-12-07,1446,Terra,100
-38.8073,-64.2336,2000-12-07,1446,Terra,69
-39.5082,-62.5768,2000-12-07,1446,Terra,65
-39.5543,-63.5448,2000-12-07,1446,Terra,60
-39.5612,-63.5771,2000-12-07,1446,Terra,83
-39.5628,-63.5619,2000-12-07,1446,Terra,84
-39.5645,-63.5467,2000-12-07,1446,Terra,88
-39.5714,-63.5789,2000-12-07,1446,Terra,85
-39.5731,-63.5638,2000-12-07,1446,Terra,92
-39.5799,-63.5708,2000-12-07,1446,Terra,59
-40.6643,-63.6751,2000-12-07,1446,Terra,92
-40.6703,-63682,2000-12-07,1446,Terra,85
-40672,-63.6661,2000-12-07,1446,Terra,53
-40.7245,-63.7253,2000-12-08,246,Terra,77
-40.72,-63.7002,2000-12-08,246,Terra,15
-40.7219,-63.7323,2000-12-08,246,Terra,75
-39.7262,-65.3824,2000-12-08,246,Terra,51
-38.8034,-64.0437,2000-12-08,247,Terra,49
-38.2329,-63.7434,2000-12-08,247,Terra,94
-38.2282,-63.7508,2000-12-08,247,Terra,97
-38.1214,-64.8762,2000-12-08,247,Terra,98
-38.1028,-64.8102,2000-12-08,247,Terra,100
-38.1046,-64.8439,2000-12-08,247,Terra,100
-38.1064,-64.8777,2000-12-08,247,Terra,77
-38.0879,-64.8115,2000-12-08,247,Terra,100
-38.0897,-64.8452,2000-12-08,247,Terra,100
-38.1228,-64.8829,2000-12-08,247,Terra,95
-38.1038,-64.8169,2000-12-08,247,Terra,100
-38.1058,-64.8506,2000-12-08,247,Terra,100
-38.1078,-64.8843,2000-12-08,247,Terra,43
-38.0888,-64.8181,2000-12-08,247,Terra,100
-38.0908,-64.8518,2000-12-08,247,Terra,100
-38.0759,-64.8532,2000-12-08,247,Terra,71
-36.5517,-66.1786,2000-12-08,247,Terra,100
-36.5412,-66.1472,2000-12-08,247,Terra,100
-36.5432,-66.1861,2000-12-08,247,Terra,100
-36.5252,-66.1485,2000-12-08,247,Terra,100
-36.5272,-66.1873,2000-12-08,247,Terra,77
-36.5884,-67.5236,2000-12-08,247,Terra,93
-36.5132,-66.2279,2000-12-08,247,Terra,97
-36.5152,-66.2675,2000-12-08,247,Terra,97
-36571,-67.5244,2000-12-08,247,Terra,96
-36.4972,-66.2291,2000-12-08,247,Terra,100
-36.4991,-66.2687,2000-12-08,247,Terra,37
-36.5537,-67.5252,2000-12-08,247,Terra,20
-36.4811,-66.2303,2000-12-08,247,Terra,48
-36.5167,-66.1542,2000-12-08,247,Terra,71
-36.5211,-66.2324,2000-12-08,247,Terra,0
-36.5871,-67.5286,2000-12-08,247,Terra,99
-36.5051,-66.2336,2000-12-08,247,Terra,80
-36.5072,-66.2732,2000-12-08,247,Terra,0
-36.5697,-67.5294,2000-12-08,247,Terra,98
-36489,-66.2348,2000-12-08,247,Terra,77
-36.5523,-67.5301,2000-12-08,247,Terra,49
-36.4288,-66.3188,2000-12-08,247,Terra,58
-36.4308,-66.3588,2000-12-08,247,Terra,23
-36.4208,-66.3263,2000-12-08,247,Terra,100
-35.8894,-67.0244,2000-12-08,247,Terra,61
-35.8588,-67.4743,2000-12-08,247,Terra,50
-35.8607,-67.5199,2000-12-08,247,Terra,100
-35.8564,-67.4798,2000-12-08,247,Terra,87
-35.8586,-67.5253,2000-12-08,247,Terra,100
