latitude,longitude,acq_date,acq_time,confidence
-21.6036,148.0401,11/1/2000,1227,10
-21.5853,148.0712,11/1/2000,1227,96
-21.5881,148.0388,11/1/2000,1227,40
-21.5698,148.0699,11/1/2000,1227,96
-21.605,148.0665,11/1/2000,1227,79
-21.5895,148.065,11/1/2000,1227,100
-21.574,148.0636,11/1/2000,1227,91
-21.5585,148.0629,11/1/2000,1227,22
-20.5099,146.1045,11/1/2000,1227,17
-33.0073,137.5926,11/1/2000,1402,100
-26.5429,125.32,11/1/2000,1404,100
-26.5453,125.2927,11/1/2000,1404,61
-25.1499,128.9525,11/1/2000,1405,31
-25.1392,128.9511,11/1/2000,1405,8
-25.4973,125.5368,11/1/2000,1405,22
-25.0594,125.1248,11/1/2000,1405,66
-25.0617,125.0984,11/1/2000,1405,88
-25.0452,125.1233,11/1/2000,1405,87
-25.0474,125.0967,11/1/2000,1405,17
-25.056,125.118,11/1/2000,1405,97
-25.0585,125.0915,11/1/2000,1405,79
-25.0418,125.1164,11/1/2000,1405,78
-24.6759,127.185,11/1/2000,1405,15
-21.6378,140.8656,11/1/2000,1405,72
-22.3866,121.6735,11/1/2000,1406,90
-22.369,121.6719,11/1/2000,1406,53
-22.3722,121.6285,11/1/2000,1406,70
-22.3862,121.6689,11/1/2000,1406,97
-22.3686,121.6673,11/1/2000,1406,80
-22.3721,121.624,11/1/2000,1406,70
-19.4695,140.6351,11/1/2000,1406,60
-21.8336,122.5137,11/1/2000,1406,100
-21.8368,122.4767,11/1/2000,1406,100
-21.8171,122.5122,11/1/2000,1406,93
-21.8202,122.4751,11/1/2000,1406,100
-21.8037,122.4735,11/1/2000,1406,100
-18.9815,142.1473,11/1/2000,1406,49
-21.7872,122.4719,11/1/2000,1406,68
-21.7902,122.4348,11/1/2000,1406,73
-21.811,122.5064,11/1/2000,1406,100
-21.8143,122.4693,11/1/2000,1406,100
-21.7978,122.4678,11/1/2000,1406,100
-18.9766,142.1411,11/1/2000,1406,43
-18.5932,142.5195,11/1/2000,1406,37
-18.6171,142.5593,11/1/2000,1406,49
-20.9468,127.9165,11/1/2000,1406,81
-18.5912,142.5118,11/1/2000,1406,56
-19.0106,138.2388,11/1/2000,1406,93
-18.613,139.1771,11/1/2000,1406,73
-17.4326,142.6027,11/1/2000,1406,26
-17.433,142.5981,11/1/2000,1406,14
-17.3545,142.5361,11/1/2000,1406,46
-17.3547,142.5291,11/1/2000,1406,52
-19.1454,128.0212,11/1/2000,1406,92
-18.1424,134.0549,11/1/2000,1406,89
-18.144,134.0443,11/1/2000,1406,94
-17.7612,134.72,11/1/2000,1406,66
-17.6985,134.7268,11/1/2000,1406,75
-18.3669,128.9697,11/1/2000,1407,55
-18.3541,128.9909,11/1/2000,1407,100
-18.3556,128.9796,11/1/2000,1407,100
-18.3571,128.9683,11/1/2000,1407,100
-18.3429,129.0008,11/1/2000,1407,100
-18.3443,128.9895,11/1/2000,1407,100
-18.3331,128.9994,11/1/2000,1407,56
-18.3069,128.8918,11/1/2000,1407,62
-18.3083,128.8803,11/1/2000,1407,77
-18.6786,125.4738,11/1/2000,1407,49
-17.9498,130.9056,11/1/2000,1407,94
-17.9577,130.8484,11/1/2000,1407,86
-17.959,130.8388,11/1/2000,1407,79
-17.9473,130.8565,11/1/2000,1407,93
-17.9486,130.847,11/1/2000,1407,92
-17.8827,130.4606,11/1/2000,1407,61
-17.8736,130.4593,11/1/2000,1407,93
-17.8749,130.4495,11/1/2000,1407,62
-17.8789,130.4203,11/1/2000,1407,80
-17.6268,131.3776,11/1/2000,1407,78
-17.7036,130.1512,11/1/2000,1407,72
-17.8551,128.8436,11/1/2000,1407,80
